epoch,train_loss,val_macro_auroc,val_stable_auroc,val_macro_f1,val_macro_tuned_f1,epoch_time_s,lr
1,0.034731941246850924,0.7287207747159644,0.7191336949025735,0.22387821902355115,0.4223228853109486,58.0,0.0004998766400914329
2,0.029582961174574766,0.7387921979731122,0.724540087276389,0.3145818449601867,0.40905439551700334,26.0,0.0004995066821070679
3,0.027408524077724327,0.7773369457819937,0.8058818202053508,0.4115433128444821,0.4643952307250504,28.8,0.00049889049115077
4,0.025031666389920496,0.7811928208008552,0.8179970215733768,0.30946307142387863,0.4549569445182753,26.6,0.0004980286753286195
5,0.022684308734129775,0.8351203288325759,0.8768062495312581,0.531871716157048,0.5536881849629792,26.3,0.0004969220851487844
6,0.021560804986140946,0.7792287621105878,0.8018786166888854,0.35740934519716017,0.4921234698489105,26.0,0.0004955718126821722
7,0.02091595186767253,0.666172526636926,0.6499765739000044,0.21795946422201823,0.39114698826108923,26.2,0.0004939791904846868
8,0.020076401125301013,0.7750257750870484,0.7883494090766276,0.3619072601194697,0.5111402093913208,26.1,0.0004921457902821577
9,0.019755963811820203,0.8478684288381181,0.8594670309544248,0.48336317854821914,0.5517789717650208,27.2,0.0004900734214192357
10,0.019036575838584792,0.8734354854278841,0.9016398634117073,0.40923504386897797,0.6214464133862234,27.4,0.00048776412907378835
11,0.01876736002212221,0.8704578959879884,0.9107490959349761,0.6002597159943169,0.6150213049366089,26.6,0.00048522019223855637
12,0.01817908821288835,0.8733916911787158,0.9055700643573616,0.5239566466524415,0.6109285535226912,26.7,0.00048244412147206283
13,0.017799382766878064,0.8909594988321565,0.9115484856794471,0.5550091273408326,0.6255824565203709,26.7,0.00047943865642099525
14,0.01768305122175,0.9102999198374756,0.9372358773880967,0.6303692073510488,0.6422485005925307,26.5,0.0004762067631165049
15,0.01714817898517305,0.883459507333378,0.9199255286339644,0.43218471710795425,0.6279757036648422,26.9,0.00047275163104709196
16,0.016994470848955893,0.9126161866713343,0.9303045188692388,0.5579967197115485,0.6459982033046476,28.7,0.0004690766700109659
17,0.016697894824160772,0.8977979349741448,0.933241269602095,0.44116228214175657,0.6303947683446525,29.2,0.00046518550675098597
18,0.0166902389800684,0.7698427700493995,0.7982739849162526,0.347236629483302,0.4534324420173181,26.6,0.0004610819813755038
19,0.016406740612265738,0.8870207667228103,0.9235853691021512,0.5872719680474785,0.6323494870797307,26.5,0.0004567701435686405
20,0.016141520034183156,0.8927048365013082,0.9285041424963797,0.6137938627393801,0.6376485232714654,26.3,0.00045225424859373693
21,0.01582876519215378,0.7975467137291994,0.8158128300017526,0.37514091609594014,0.45251619554899775,26.8,0.00044753875309392266
22,0.015859017504209823,0.8916303517863714,0.9371963796537175,0.6103692342225534,0.6425694563508937,26.8,0.0004426283106939474
23,0.0158433756029064,0.9219465944725803,0.9423315000475672,0.6309236501831874,0.6535757140087378,27.2,0.00043752776740761494
24,0.015279408705166794,0.9005435315847654,0.9270199013541282,0.5398542022347853,0.6381226247703325,29.1,0.0004322421568553529
25,0.015040150047703222,0.9362781694040131,0.9528939554803497,0.646591368317028,0.672466017993369,29.8,0.0004267766952966369
26,0.014873918340626088,0.8956563756666119,0.9253814202820841,0.47929604027302064,0.6253820443362339,28.7,0.00042113677648217225
27,0.014686253370547837,0.899080679543134,0.921850998020692,0.5135929582607677,0.6266164424549914,27.0,0.000415327966330913
28,0.014614049091257832,0.9174479764374859,0.9488429582888152,0.6232437922535738,0.6562645358180034,31.1,0.0004093559974371725
29,0.014666081228378144,0.9290801799210178,0.9397979965964467,0.5703394403708448,0.6713524210491252,30.6,0.0004032267634132442
30,0.014240408841181886,0.8846900675360785,0.9184864715415908,0.5979546969583978,0.6182521906238811,29.2,0.0003969463130731184
31,0.0141558561982079,0.9028847477775925,0.9401451725530543,0.6349321896335605,0.6489271275555731,29.8,0.00039052084446303275
32,0.014074883203614842,0.8723326341887754,0.9190628784003104,0.48374588330030055,0.6174497452523364,29.5,0.0003839566987447492
33,0.014057864121754061,0.927105356834859,0.946555659391186,0.4722744976276866,0.6652912883593797,30.3,0.0003772603539375929
34,0.013843404755673624,0.9226516187798566,0.9535686687918443,0.6380634854691305,0.6611026947655916,29.0,0.0003704384185254289
35,0.013976233596490188,0.9238067001501,0.9526103152170039,0.605719595827999,0.6706891477075146,29.5,0.0003634976249348868
36,0.013566687229004773,0.9235450074572646,0.9487319802284531,0.6382734106032985,0.6787558652430592,30.2,0.00035644482289126823
37,0.013501615957780318,0.9194406237331926,0.9443779182310649,0.5914953697257443,0.6442503330209726,27.0,0.0003492869726586952
38,0.01333092711019245,0.942450113474578,0.9552779124993479,0.6230969508785769,0.6914255304178651,26.9,0.0003420311381711696
39,0.013100382643328471,0.9250093533145439,0.9476386709639847,0.6147064261492329,0.6654246856175183,28.8,0.00033468448006132297
40,0.013000009691512044,0.9320671649195793,0.9563420064516173,0.6063286197875856,0.6787553074945626,34.0,0.0003272542485937369
41,0.012829337133602663,0.9333063674614726,0.9448471230288082,0.42478257437575206,0.6511790591911489,30.4,0.0003197477765098074
42,0.01303161308169365,0.8649792530275316,0.8953508658068966,0.540334341300762,0.6034016116499512,30.7,0.00031217247179121373
43,0.012630355976183305,0.9276976006490196,0.9513452178719926,0.6321122461910116,0.6622493564889348,30.9,0.00030453581034913576
44,0.012490535307336938,0.9175825995720582,0.9521236904468444,0.5386475549030305,0.6742057904959418,31.4,0.0002968453286464313
45,0.012539216579700058,0.9397525323404028,0.958247211061914,0.63354693814271,0.6965906991396502,31.7,0.00028910861626005785
46,0.012374902906065638,0.9225771998392099,0.9513933560698115,0.612349161994277,0.6690721842906961,29.1,0.0002813333083910762
47,0.012365683743899519,0.9369964147884543,0.9566934987551119,0.5071383402933574,0.6754441511580369,30.7,0.00027352707832962867
48,0.012135094963014126,0.944381680699667,0.9605748921222302,0.6387737696382503,0.7031032781246893,29.8,0.0002656976298823285
49,0.012029828160831873,0.9190391171619898,0.9528187116820401,0.6222980940920433,0.6610551089704627,30.9,0.0002578526897695322
50,0.012025682348757982,0.9163597210620775,0.9523305462030116,0.6566168592226351,0.681514912853015,31.7,0.0002500000000000001
51,0.01205649221823974,0.9084375336722798,0.9509033719834259,0.5138303423966972,0.6502884708218992,29.0,0.00024214731023046803
52,0.011765517666935921,0.9190607915281028,0.9553832009407675,0.6291133079892068,0.6735233166907326,27.8,0.00023430237011767176
53,0.01163931152868,0.9432844258192701,0.9621511445885357,0.6284213092186042,0.6825643203872402,30.7,0.0002264729216703715
54,0.011399958765303546,0.9431223830675038,0.9609506673972656,0.5781042123639677,0.6841372876583232,31.9,0.00021866669160892403
55,0.01136003523133695,0.9249082233257285,0.9577534624952994,0.5918573583560136,0.6632745590136344,29.7,0.00021089138373994235
56,0.011092964640225876,0.9431040874270168,0.9604583484430648,0.6146909550542698,0.6878818806192692,30.8,0.00020315467135356892
57,0.0110101584429768,0.9413530391879947,0.9583238583144789,0.6425875758655553,0.691478359190405,30.3,0.0001954641896508645
58,0.010773067595437169,0.9303310636594865,0.952661975731393,0.603954856504306,0.6847828297220543,30.5,0.00018782752820878634
59,0.010877861569381572,0.9425080468568867,0.962275851068714,0.6052496796139519,0.6827989912174305,30.9,0.00018025222349019276
60,0.010767902328040112,0.92306340937123,0.9542909800303983,0.6298369581833295,0.6718047064735607,29.9,0.00017274575140626327
61,0.010607574118131942,0.9268635845119547,0.957240007545797,0.6460489889755694,0.6820482068755501,30.4,0.0001653155199386772
62,0.010578101467002521,0.9418224421493773,0.9618280368778324,0.6326447159529209,0.681838185484912,30.0,0.00015796886182883063
63,0.0103210166181353,0.9345547241278074,0.9599172962437089,0.6484226675152445,0.6790739995952518,30.9,0.00015071302734130486
64,0.010442602706395767,0.902983235224375,0.9505302999982829,0.6052504507579799,0.6540215484943156,30.9,0.00014355517710873186
65,0.010185345651751216,0.9410897715617136,0.9629123027202591,0.6353194237191115,0.6883863492989292,31.1,0.00013650237506511334
66,0.010117983390492472,0.9186338777026968,0.9541150991918276,0.6263300613503532,0.6564642029553344,31.3,0.00012956158147457117
67,0.009879351284524256,0.9289808151672003,0.9567632479404349,0.6004560522379457,0.6910807731635171,30.9,0.0001227396460624072
68,0.009904519290747968,0.927064531988979,0.9599196427331155,0.6460537587052246,0.6798620597089985,30.2,0.00011604330125525082
69,0.00965448024852032,0.935635813694681,0.9591092232621494,0.6423976644161786,0.6744706264142419,30.2,0.00010947915553696737
70,0.009628679827702316,0.9350037328966241,0.9612200985606761,0.6286610447433439,0.6888149765630448,30.9,0.00010305368692688178
71,0.00956060672602193,0.9347247356102026,0.9624085216730798,0.650625785039738,0.6776016416991842,29.9,9.677323658675589e-05
72,0.009318951678208329,0.938988788549304,0.9618096587007704,0.650078513986429,0.6855428697954439,28.8,9.06440025628276e-05
73,0.009182595597072081,0.9363881009727002,0.9616480150973576,0.6550856729146042,0.6948102265154408,26.8,8.467203366908711e-05
74,0.009066993429918182,0.9371482129227101,0.962456890003842,0.6633383291636548,0.6840936413219811,27.0,7.886322351782786e-05
75,0.009014795525846156,0.9338684088830488,0.9613447076454857,0.6518284414948076,0.6794077316932942,26.6,7.322330470336317e-05
76,0.008983226945962418,0.925707077055873,0.9587422695570549,0.6381945020616383,0.6802006989284846,27.0,6.77578431446472e-05
77,0.008818633871322328,0.934181366458954,0.9618734362207455,0.6556025744678831,0.6849325750859975,26.9,6.247223259238515e-05
78,0.008823938608508218,0.9367168062589754,0.9625668700040286,0.6656632952626236,0.6900997079100262,26.8,5.737168930605274e-05
79,0.008612464783205227,0.9328437333284798,0.9612893966370839,0.6699606946340684,0.6895543840485424,27.1,5.2461246906077416e-05
80,0.008614069600166245,0.9412240056151921,0.9622017040302997,0.6492121487548015,0.6848975453519552,26.8,4.7745751406263184e-05
81,0.008626855338330974,0.9383811102637247,0.9615964298327372,0.6603903504398569,0.6894565110067824,27.1,4.3229856431359616e-05
82,0.008468076307326555,0.9297018087275699,0.9608758121881071,0.6519169820458826,0.6886398284038417,26.7,3.89180186244963e-05
83,0.008401458117772232,0.9273921972536907,0.9609467243710452,0.6565807575882073,0.6896955310320181,26.8,3.481449324901408e-05
84,0.008341599865393205,0.9343185070198268,0.9619928212390458,0.6605599952923612,0.6928693488757607,26.7,3.092332998903412e-05
85,0.008353073310784317,0.9357287196076147,0.9620395813851328,0.6614809247353005,0.6923901453774637,29.8,2.7248368952908065e-05
