epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
133,15857.8,0.9587,0.37756,0.0033,0.72547,0.53751,0.54684,0.33363,1.30577,0.6192,0.00695,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,15972.7,0.96204,0.38622,0.00334,0.72305,0.5376,0.54721,0.33324,1.30629,0.62084,0.00696,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,16088,0.9583,0.38628,0.00328,0.72306,0.5356,0.54628,0.33195,1.30692,0.62139,0.00696,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,16203.7,0.94841,0.37857,0.00325,0.72245,0.53502,0.54183,0.33227,1.30697,0.62063,0.00696,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,16318.9,0.94415,0.38045,0.00324,0.7178,0.53566,0.54204,0.33272,1.30716,0.62219,0.00697,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,16434,0.94013,0.37734,0.0032,0.71448,0.53698,0.54102,0.3321,1.30767,0.62235,0.00697,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,16549.2,0.9352,0.3708,0.00318,0.72147,0.53598,0.53992,0.33194,1.30853,0.62302,0.00698,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,16664.3,0.93622,0.3725,0.00318,0.71868,0.53236,0.5391,0.33026,1.30972,0.62445,0.00698,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,16802.5,0.86739,0.27509,0.00348,0.71276,0.535,0.53938,0.33031,1.30972,0.62613,0.00699,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,16916.1,0.83741,0.25955,0.00329,0.71296,0.53887,0.53889,0.32969,1.31113,0.62734,0.00699,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,17029.9,0.82148,0.25449,0.00321,0.71971,0.53031,0.53791,0.32909,1.31235,0.62791,0.00701,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
