epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4117.3,1.33335,0.70841,0.00513,0.67791,0.54501,0.55027,0.33411,1.28729,0.6109,0.00676,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4234.67,1.33153,0.70532,0.00508,0.6862,0.54141,0.54166,0.32529,1.28101,0.60537,0.00676,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4351.13,1.33213,0.70027,0.00512,0.68458,0.5544,0.54739,0.33266,1.28074,0.60572,0.00673,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,4467.62,1.33049,0.69944,0.00512,0.69607,0.55364,0.55699,0.33831,1.27721,0.60507,0.00672,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,4584.19,1.32452,0.69047,0.00507,0.57055,0.55784,0.57206,0.33728,1.28368,0.60036,0.00679,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,4700.61,1.3244,0.69774,0.0051,0.53978,0.67899,0.6117,0.3554,1.28107,0.59496,0.00676,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,4817.15,1.31783,0.68252,0.005,0.75411,0.51327,0.56344,0.34444,1.28194,0.59714,0.00673,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,4933.55,1.31715,0.68187,0.005,0.68968,0.56775,0.56306,0.34185,1.27761,0.59906,0.0067,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5051.99,1.3142,0.68156,0.005,0.68984,0.54616,0.57554,0.34283,1.27831,0.5924,0.00673,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,5169.6,1.31796,0.67421,0.00502,0.58521,0.68411,0.61862,0.3504,1.28322,0.58603,0.00676,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
